actual,predicted,predicted_proba
0,0,0.315
0,0,0.17
0,0,0.005
1,0,0.195
0,0,0.005
0,0,0.145
0,0,0.045
0,0,0.205
0,0,0.11
0,0,0.045
0,0,0.005
0,0,0.055
1,0,0.105
0,0,0.13
0,0,0.125
0,0,0.055
0,0,0.095
0,0,0.095
0,0,0.365
0,0,0.05
0,0,0.275
0,0,0.005
0,0,0.145
0,0,0.02
0,0,0.11
0,0,0.05
0,0,0.04
0,0,0.07
0,0,0.16
0,0,0.02
0,0,0.07
0,0,0.015
0,0,0.05
0,0,0.03
0,0,0.09
1,0,0.16
1,0,0.27
0,0,0.24
0,0,0.08
0,0,0.08
0,0,0.08
0,0,0.05
0,0,0.16
0,0,0.43
0,0,0.03
1,0,0.075
0,0,0.0
0,0,0.025
0,0,0.095
0,0,0.135
0,0,0.055
1,0,0.065
0,0,0.045
0,0,0.03
1,0,0.305
0,0,0.12
0,0,0.135
0,0,0.225
0,0,0.11
0,0,0.085
1,0,0.205
1,0,0.055
0,0,0.17
0,0,0.065
0,0,0.17
1,0,0.135
0,0,0.08
0,0,0.085
0,0,0.06
0,0,0.075
0,0,0.15
0,0,0.07
0,0,0.09
0,0,0.145
0,0,0.035
0,0,0.055
0,0,0.135
0,0,0.08
1,0,0.15
0,0,0.12
0,0,0.42
0,0,0.075
0,0,0.115
0,0,0.06
1,0,0.25
1,1,0.52
0,0,0.07
0,0,0.11
0,0,0.375
0,0,0.035
0,0,0.07
0,0,0.14
0,0,0.195
0,0,0.185
0,0,0.135
0,0,0.03
1,0,0.16
0,0,0.195
0,0,0.18
0,0,0.04
0,0,0.02
0,0,0.08
0,0,0.11
0,0,0.06
0,0,0.095
1,0,0.065
1,0,0.19
0,0,0.08
0,0,0.175
0,0,0.125
0,0,0.06
0,0,0.08
0,0,0.16
0,0,0.125
1,0,0.08
0,0,0.195
0,0,0.06
0,0,0.07
0,0,0.105
0,0,0.02
0,0,0.21
0,0,0.02
0,0,0.085
0,0,0.155
0,0,0.075
0,0,0.13
0,0,0.14
0,0,0.125
0,0,0.1
0,0,0.17
0,0,0.045
0,0,0.19
0,0,0.065
1,0,0.15
0,0,0.095
0,0,0.08
0,0,0.06
1,0,0.215
0,0,0.365
1,0,0.04
0,0,0.17
0,0,0.17
0,0,0.01
0,0,0.115
0,0,0.055
0,0,0.0
0,0,0.195
0,0,0.08
0,0,0.05
0,0,0.215
1,0,0.125
0,0,0.11
0,0,0.185
0,0,0.035
0,0,0.025
1,0,0.265
0,0,0.01
0,0,0.21
0,0,0.16
0,0,0.15
0,0,0.06
0,0,0.065
1,0,0.155
0,0,0.18
0,0,0.175
0,0,0.05
0,0,0.05
0,0,0.01
0,0,0.09
0,0,0.01
0,0,0.115
0,0,0.16
1,0,0.095
1,0,0.145
1,0,0.24
